City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
560,Shingu,JP,80.19,broken clouds,33.7333,135.9833,Shingu UI Hotel
566,Xining,CN,75.79,clear sky,36.6167,101.7667,Super Leisure Hotel
567,Mandera,KE,76.17,broken clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
572,Mae Sai,TH,79.3,overcast clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
578,Sabang,ID,82.85,overcast clouds,5.8933,95.3214,Hotel Citra
580,Gorontalo,ID,84.69,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
582,Buala,SB,82.15,light rain,-8.145,159.5921,Maringe Lagoon Lodge
584,Elat,IL,80.44,clear sky,29.5581,34.9482,Club Hotel Eilat
587,Lakeside,US,84.97,clear sky,30.13,-81.7682,Whitey's Fish Camp
588,Maunabo,PR,79.29,broken clouds,18.0072,-65.8993,Parador Maunacaribe
591,Sunset,US,84.99,clear sky,25.7059,-80.3523,Magic Waters
592,Chaiya,TH,80.58,broken clouds,9.3862,99.1986,JP Place
594,Marsa Matruh,EG,75.22,clear sky,31.3525,27.2453,Beau Site
612,Bilma,NE,87.35,clear sky,18.6853,12.9164,Expeditions Ténére voyages
613,Itarema,BR,77.94,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
617,Oussouye,SN,79.03,clear sky,12.485,-16.5469,Auberge du Routard
619,Zunyi,CN,80.01,few clouds,27.6867,106.9072,Bishiluo Hostel
620,Meadow Lake,US,82.33,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
624,Kieta,PG,85.66,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
625,Winnemucca,US,87.85,clear sky,40.973,-117.7357,Winners Inn Casino
626,Biak,ID,78.39,overcast clouds,-0.9131,122.8766,Penginapan Kim
634,Yarada,IN,83.5,overcast clouds,17.65,83.2667,Yarada Jungle Beach Resorts
641,Curup,ID,78.44,broken clouds,-3.4667,102.5333,Ayi The Costel
647,Algiers,DZ,76.82,scattered clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
648,Misratah,LY,80.42,clear sky,32.3754,15.0925,Almasa Hotel
651,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
655,Urucui,BR,79.3,clear sky,-7.2294,-44.5561,Hotel Premium Piauí
665,Zhangye,CN,77.97,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
668,Nisia Floresta,BR,75.58,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
669,Andijon,UZ,79.88,clear sky,40.7821,72.3442,"Hotel ""Bog'ishamol"""
671,Porbandar,IN,82.62,moderate rain,21.6422,69.6093,Lords Inn Porbandar
673,Kotma,IN,80.37,overcast clouds,23.2,81.9667,Adil ka ghar
677,Katsuura,JP,76.55,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
