City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
166,Kavaratti,10.5669,72.642,81.28,83,100,18.92,IN,overcast clouds
167,Inhambane,-23.865,35.3833,62.33,77,0,3.18,MZ,clear sky
168,Rocha,-34.4833,-54.3333,62.04,93,100,16.02,UY,overcast clouds
169,East London,-33.0153,27.9116,58.66,73,0,7.07,ZA,clear sky
170,Najran,17.4924,44.1277,81.25,24,98,7.27,SA,overcast clouds
171,Grand Gaube,-20.0064,57.6608,69.39,58,87,5.99,MU,overcast clouds
172,Saint George,37.1041,-113.5841,97.39,11,0,14.97,US,clear sky
173,Raga,8.4596,25.678,69.17,90,42,4.7,SS,scattered clouds
174,Iqaluit,63.7506,-68.5145,36.91,94,100,3.49,CA,overcast clouds
175,Manono,-7.3,27.4167,65.73,39,33,4.12,CD,scattered clouds
176,Bria,6.5423,21.9863,67.41,95,12,1.68,CF,few clouds
177,Port Arthur,38.8,121.2667,76.91,50,96,14.97,CN,overcast clouds
178,Faya,18.3851,42.4509,66.31,28,99,3.31,SA,overcast clouds
179,Bluff,-46.6,168.3333,46.8,71,100,4.16,NZ,overcast clouds
180,Yingcheng,30.95,113.55,86.09,72,62,4.99,CN,broken clouds
181,Ahipara,-35.1667,173.1667,59.65,96,100,11.74,NZ,light rain
182,Jalu,29.0331,21.5482,80.17,37,0,7.83,LY,clear sky
183,Katrineholm,58.9959,16.2072,56.64,86,100,5.19,SE,light rain
184,Laguna,38.421,-121.4238,82.45,54,0,14.97,US,clear sky
185,Taranagar,28.6709,75.0351,95.11,45,22,6.8,IN,few clouds
186,Whitehorse,60.7161,-135.0538,78.1,59,75,11.5,CA,thunderstorm with light rain
187,Sitka,57.0531,-135.33,57.09,82,100,6.91,US,overcast clouds
188,Sao Filipe,14.8961,-24.4956,75.04,85,91,8.3,CV,overcast clouds
189,Parabel,58.6978,81.4825,63.84,62,35,7.94,RU,scattered clouds
190,Mabaruma,8.2,-59.7833,73.76,94,4,3.24,GY,clear sky
191,Ancud,-41.8697,-73.8203,41.23,75,100,12.73,CL,light rain
192,Chikola,43.1906,43.9209,54.45,74,0,3.58,RU,clear sky
193,Tura,25.5198,90.2201,81.93,76,9,3.47,IN,clear sky
194,Port Hedland,-20.3167,118.5667,73.45,13,15,14.97,AU,few clouds
195,Richards Bay,-28.783,32.0377,61.12,91,0,3.4,ZA,clear sky
196,Nemuro,43.3236,145.575,56.73,91,69,6.87,JP,broken clouds
197,Teguldet,57.3064,88.1667,64.56,84,93,2.66,RU,overcast clouds
198,Fortuna,40.5982,-124.1573,62.92,85,100,3.0,US,overcast clouds
199,Iskateley,67.6803,53.1512,64.06,75,8,12.71,RU,clear sky
200,Pangkalanbuun,-2.6833,111.6167,86.0,64,19,2.62,ID,few clouds
201,Ostrovnoy,68.0531,39.5131,58.89,73,6,10.4,RU,clear sky
202,Kaa-Khem,51.6833,94.7333,63.16,58,92,6.87,RU,overcast clouds
203,Nome,64.5011,-165.4064,64.17,63,100,3.44,US,light rain
204,Fort Nelson,58.8053,-122.7002,76.59,38,75,3.44,CA,broken clouds
205,Tezu,27.9167,96.1667,83.75,87,59,0.34,IN,broken clouds
206,Mogadishu,2.0371,45.3438,75.74,84,73,19.77,SO,moderate rain
207,Syracuse,37.0881,15.2792,77.32,63,0,4.76,IT,clear sky
208,Anadyr,64.75,177.4833,59.5,67,0,11.18,RU,clear sky
209,Lethem,3.3803,-59.7968,76.64,82,57,6.42,GY,broken clouds
210,Lebu,-37.6167,-73.65,46.8,77,86,6.15,CL,overcast clouds
211,Qaqortoq,60.7167,-46.0333,45.0,93,100,1.7,GL,light rain
212,Copiapo,-27.3667,-70.3333,44.29,44,82,2.24,CL,broken clouds
213,Ivanteyevka,55.9711,37.9208,70.34,94,100,5.26,RU,overcast clouds
214,Dalbandin,28.8947,64.4101,84.96,60,100,4.97,PK,overcast clouds
215,Kitzbuhel,47.4464,12.3922,59.92,90,100,2.15,AT,overcast clouds
216,Pangnirtung,66.1451,-65.7125,44.47,79,94,3.0,CA,overcast clouds
217,Vao,-22.6667,167.4833,75.79,78,99,13.98,NC,overcast clouds
218,Brae,60.3964,-1.353,49.87,85,100,17.38,GB,overcast clouds
219,Makakilo City,21.3469,-158.0858,80.92,63,100,11.5,US,overcast clouds
220,Livingston,55.9029,-3.5226,55.47,85,100,6.91,GB,overcast clouds
221,Udachnyy,66.4167,112.4,62.53,54,57,12.12,RU,broken clouds
222,Fairbanks,64.8378,-147.7164,85.6,39,0,0.0,US,smoke
223,Sorland,67.667,12.6934,51.66,74,100,13.67,NO,overcast clouds
224,Aloleng,16.1307,119.7824,84.69,69,99,0.76,PH,overcast clouds
225,Cabo San Lucas,22.8909,-109.9124,94.3,21,0,11.5,MX,clear sky
226,Provideniya,64.3833,-173.3,50.11,87,75,11.18,RU,broken clouds
227,Chifeng,42.2683,118.9636,80.51,52,0,5.88,CN,clear sky
228,Hamilton,39.1834,-84.5333,76.05,95,75,8.05,US,mist
229,Rondonopolis,-16.4708,-54.6356,67.96,41,5,0.63,BR,clear sky
230,Naze,28.3667,129.4833,79.72,79,100,8.79,JP,moderate rain
231,Santiago Del Estero,-27.7951,-64.2615,62.6,81,2,7.14,AR,clear sky
232,Christiana,-27.914,25.1611,43.93,36,0,4.21,ZA,clear sky
233,Labuhan,-6.8844,112.2051,80.1,76,66,8.28,ID,broken clouds
234,New Norfolk,-42.7826,147.0587,54.91,75,20,5.99,AU,few clouds
235,Kandrian,-6.2167,149.55,86.34,66,94,9.89,PG,overcast clouds
236,Finnsnes,69.2296,17.9811,50.76,83,92,5.1,NO,overcast clouds
237,Boffa,10.1667,-14.0333,71.51,93,100,2.37,GN,overcast clouds
238,San Luis,-33.295,-66.3356,45.52,37,1,25.72,AR,clear sky
239,Acari,-15.4311,-74.6158,62.55,80,36,1.32,PE,scattered clouds
240,Songea,-10.6833,35.65,57.4,69,51,2.68,TZ,broken clouds
241,Chokurdakh,70.6333,147.9167,63.07,34,94,13.78,RU,overcast clouds
242,Luderitz,-26.6481,15.1594,54.64,61,0,8.95,NA,clear sky
243,Ilulissat,69.2167,-51.1,41.02,87,75,2.3,GL,broken clouds
244,Flinders,-34.5833,150.8552,59.25,86,84,12.93,AU,broken clouds
245,Wuzhou,23.4833,111.3167,76.59,96,100,4.07,CN,overcast clouds
246,Saldanha,-33.0117,17.9442,39.25,85,4,9.26,ZA,clear sky
247,Dunedin,-45.8742,170.5036,47.8,74,100,4.0,NZ,overcast clouds
248,Hare Bay,48.8499,-54.0148,58.35,96,100,9.31,CA,overcast clouds
249,Yasnyy,51.0333,59.8742,54.3,71,100,7.14,RU,light rain
250,Mokhotlong,-29.2894,29.0675,37.85,59,0,1.88,LS,clear sky
251,Thompson,55.7435,-97.8558,66.36,52,75,9.22,CA,broken clouds
252,Portland,45.5234,-122.6762,74.44,70,75,8.05,US,broken clouds
253,Ulladulla,-35.35,150.4667,59.36,66,68,11.61,AU,broken clouds
254,Littleton,39.6133,-105.0166,70.2,72,75,4.61,US,broken clouds
255,Yamoto,38.4274,141.2149,75.29,68,81,12.44,JP,broken clouds
256,Paamiut,61.994,-49.6678,42.21,92,99,7.31,GL,overcast clouds
257,Raudeberg,61.9875,5.1352,50.67,82,99,16.44,NO,light rain
258,Hellvik,59.9156,5.781,54.77,85,95,8.99,NO,overcast clouds
259,Gizo,-8.103,156.8419,85.3,65,100,9.22,SB,overcast clouds
260,Bonga,7.2833,36.2333,59.56,98,99,1.32,ET,overcast clouds
261,Faanui,-16.4833,-151.75,79.07,65,10,8.25,PF,clear sky
262,Sibolga,1.7427,98.7792,83.08,72,94,0.78,ID,overcast clouds
263,Saint-Georges,12.0564,-61.7485,80.28,83,20,11.5,GD,few clouds
264,Hasaki,35.7333,140.8333,73.8,84,13,18.59,JP,few clouds
265,Bayburt,40.2589,40.2278,55.38,50,0,3.51,TR,clear sky
266,Bonnyville,54.2668,-110.735,69.6,77,63,5.28,CA,broken clouds
267,Kupang,-10.1667,123.5833,79.36,50,88,8.41,ID,overcast clouds
268,Muscle Shoals,34.7448,-87.6675,77.88,93,20,0.0,US,few clouds
269,Thohoyandou,-22.9456,30.485,55.35,71,0,3.71,ZA,clear sky
270,Maniwaki,46.3834,-75.966,53.98,87,1,0.0,CA,clear sky
271,Baft,29.234,56.6057,71.28,26,43,4.23,IR,scattered clouds
272,Cassilandia,-19.1133,-51.7342,65.3,46,75,2.62,BR,broken clouds
273,Port Lincoln,-34.7333,135.8667,55.98,65,100,11.79,AU,overcast clouds
274,Adrar,20.5022,-10.0711,95.43,10,11,5.14,MR,few clouds
275,Itaituba,-4.2761,-55.9836,76.57,75,77,1.77,BR,broken clouds
276,Kamiiso,41.8167,140.65,68.38,88,75,12.66,JP,broken clouds
277,Quatre Cocos,-20.2078,57.7625,69.1,72,100,15.59,MU,overcast clouds
278,Luhyny,51.082,28.4006,56.28,92,100,8.25,UA,overcast clouds
279,Huambo,-12.7761,15.7392,51.44,51,1,2.91,AO,clear sky
280,Namatanai,-3.6667,152.4333,82.71,75,95,11.43,PG,moderate rain
281,Sinnamary,5.3833,-52.95,77.0,82,98,8.41,GF,overcast clouds
282,Georgetown,5.4112,100.3354,87.73,78,20,4.61,MY,few clouds
283,Shakawe,-18.3667,21.85,53.85,49,3,3.76,BW,clear sky
284,Constitucion,-35.3333,-72.4167,47.86,82,20,3.96,CL,few clouds
285,Masty,53.4122,24.5387,50.4,94,14,5.91,BY,few clouds
286,Makaha,21.4694,-158.2175,82.31,61,100,8.05,US,overcast clouds
287,Bulri,24.8667,68.3333,85.6,73,13,9.62,PK,few clouds
288,Souillac,-20.5167,57.5167,68.86,72,100,14.81,MU,overcast clouds
289,La Ronge,55.1001,-105.2842,68.22,39,20,5.75,CA,few clouds
290,Emerald,-23.5333,148.1667,65.34,58,0,7.34,AU,clear sky
291,Tsurib,42.2368,46.8307,50.9,82,0,10.25,RU,clear sky
292,Darab,28.7519,54.5444,85.24,35,20,3.11,IR,few clouds
293,La Sarre,48.8002,-79.1996,50.9,69,57,2.64,CA,broken clouds
294,San Carlos De Bariloche,-41.1456,-71.3082,34.25,70,96,7.74,AR,light snow
295,Esmeraldas,-19.7625,-44.3139,59.86,69,0,4.03,BR,clear sky
296,Svobodnyy,51.4,128.1333,75.43,65,100,13.76,RU,overcast clouds
297,Hofn,64.2539,-15.2082,50.16,99,100,12.55,IS,overcast clouds
298,Torbay,47.6666,-52.7314,60.28,91,100,11.5,CA,light rain
299,Dyersburg,36.0345,-89.3856,89.51,79,0,3.44,US,clear sky
300,Urrutia,14.7427,-87.0422,69.76,91,100,2.75,HN,overcast clouds
301,Fria,10.4167,-13.5833,69.22,98,100,2.08,GN,overcast clouds
302,Vaitape,-16.5167,-151.75,79.07,65,11,8.23,PF,few clouds
303,Wexford,52.3342,-6.4575,60.22,82,99,11.39,IE,overcast clouds
304,Ipixuna,-1.7625,-48.8043,75.79,82,60,4.65,BR,broken clouds
305,Coronado,32.6859,-117.1831,77.95,81,75,14.97,US,broken clouds
306,Saint-Pierre,-21.3393,55.4781,67.91,66,75,8.05,RE,broken clouds
307,Muli,2.9167,73.5667,82.04,76,100,2.51,MV,moderate rain
308,Beringovskiy,63.05,179.3167,48.61,79,77,6.67,RU,broken clouds
309,Sahaswan,28.0833,78.75,93.85,45,70,13.78,IN,broken clouds
310,Mandalgovi,45.7625,106.2708,67.68,48,99,13.85,MN,overcast clouds
311,Cockburn Town,21.4612,-71.1419,81.81,78,0,22.08,TC,clear sky
312,Manta,-0.95,-80.7333,69.58,88,75,9.22,EC,broken clouds
313,Uige,-7.6087,15.0613,59.92,58,20,2.59,AO,few clouds
314,Norman Wells,65.282,-126.8329,86.04,28,40,9.22,CA,smoke
315,Hobyo,5.3505,48.5268,75.96,80,48,24.25,SO,scattered clouds
316,Mitsamiouli,-11.3847,43.2844,74.89,68,0,6.49,KM,clear sky
317,Locri,38.2414,16.2623,77.32,49,0,9.55,IT,clear sky
318,Mecca,21.4267,39.8261,85.8,26,100,5.99,SA,overcast clouds
319,Aksum,14.1245,38.7244,61.77,73,96,1.79,ET,overcast clouds
320,Kaitong,44.8135,123.15,80.82,64,80,2.46,CN,broken clouds
321,Santa Maria,-29.6842,-53.8069,74.5,43,0,13.8,BR,clear sky
322,Sandnessjoen,66.0217,12.6316,47.64,93,87,5.01,NO,overcast clouds
323,Tuatapere,-46.1333,167.6833,46.99,69,100,5.26,NZ,overcast clouds
324,Jiexiu,37.0244,111.9125,88.3,31,0,4.7,CN,clear sky
325,North Bend,43.4065,-124.2243,66.92,87,100,10.36,US,overcast clouds
326,Iquitos,-3.7481,-73.2472,75.24,100,40,2.3,PE,scattered clouds
327,Paoua,7.2427,16.4406,68.34,94,100,1.25,CF,light rain
328,Prince Rupert,54.3161,-130.3201,62.69,87,100,6.91,CA,overcast clouds
329,Giresun,40.5,38.5,44.98,83,0,2.28,TR,clear sky
330,Ust-Tsilma,65.441,52.1498,64.63,88,98,3.6,RU,overcast clouds
331,Alta Floresta,-9.8756,-56.0861,69.87,51,6,2.57,BR,clear sky
332,Nueva Guinea,11.6876,-84.4562,72.68,97,98,5.3,NI,overcast clouds
333,Poum,-20.2333,164.0167,77.4,88,93,21.54,NC,overcast clouds
334,Tibu,8.639,-72.7358,74.5,99,96,1.19,CO,overcast clouds
335,Aykhal,66.0,111.5,60.73,53,21,12.73,RU,few clouds
336,Cabra,37.4725,-4.4421,73.65,54,0,3.76,ES,clear sky
337,Yucaipa,34.0336,-117.0431,82.87,50,0,3.0,US,clear sky
338,Bathsheba,13.2167,-59.5167,81.21,90,20,14.97,BB,few clouds
339,Rio Gallegos,-51.6226,-69.2181,17.65,100,20,3.44,AR,fog
340,Hurghada,27.2574,33.8129,80.58,44,0,17.16,EG,clear sky
341,Anloga,5.7947,0.8973,77.11,86,78,10.49,GH,broken clouds
342,Bandarbeyla,9.4942,50.8122,78.57,64,43,33.67,SO,scattered clouds
343,Katangli,51.7102,143.2326,73.98,65,79,8.21,RU,broken clouds
344,Bethel,41.3712,-73.414,75.07,80,0,0.0,US,clear sky
345,Kolokani,13.5728,-8.0339,75.22,72,98,5.5,ML,light rain
346,Ust-Maya,60.4167,134.5333,94.24,33,98,11.1,RU,overcast clouds
347,Rio Grande,-32.035,-52.0986,57.94,98,99,8.99,BR,overcast clouds
